Movie,Total Views
Agent Vinod | Theatrical Trailer,211126
Shaandaar | Official Trailer | Alia Bhatt &amp; Shahid Kapoor,15575136
I Hate Luv Storys Trailer,755367
RAW - Romeo Akbar Walter | Official Trailer | John Abraham | Jackie Shroff | Mouni Roy | 5th April,35596910
Shubh Mangal Saavdhan Official Trailer | Watch Full Movie On Eros Now,18625565
Madras Cafe Official Trailer - HD | John Abraham | Nargis Fakhri,5131324
Desi Boyz Official Trailer | Watch Full Movie On Eros Now,1284698
Veer-Zaara | Official Trailer | Shah Rukh Khan | Preity Zinta | Rani Mukerji | Yash Chopra,4567168
"Jannat 2 (2012) - Official Trailer *HD* Ft. Emraan Hashmi, Prachi Desai",820476
"Mohabbatein | Official Trailer | Amitabh Bachchan, Shah Rukh Khan, Aishwarya Rai | Aditya Chopra",4869311
Devdas | Official Trailer,2286051
All The Best - Fun Begins Official Trailer,66694
"Kaminey - Hindi Movie Trailer - Shahid Kapoor, Priyanka Chopra and Amol Gupte",84596
"Chashme Baddoor - Official Trailer | Ali Zafar, Divyendu Sharma, Siddharth and Taapsee Pannu",3255922
"Pagalpanti Trailer - Anil, John, Ileana, Arshad, Urvashi, Pulkit, Kriti | Anees | Releasing 22 Nov",38423235
&quot;Atithi Tum Kab Jaoge&quot; - Official Full Movie Trailer - Ajay Devgan (HD),1101987
Wazir - Official Trailer | Amitabh Bachchan | Farhan Akhtar,7045234
"Official Trailer: Batti Gul Meter Chalu |Shahid Kapoor, Shraddha Kapoor, Divyendu Sharma,Yami Gautam",44031154
phir hera pheir trailer,257489
Matru Ki Bijlee Ka Mandola Official Trailer (With English Subtitles),296256
"Anjaana Anjaani  - Official Trailer | Ranbir Kapoor, Priyanka Chopra, Zayed Khan",703091
Bhagam Bhag Official Trailer | 1080p *HD*,80898
"Love Aaj Kal - Official Trailer | Kartik, Sara, Randeep, Arushi | Imtiaz Ali | Dinesh Vijan | 14 Feb",50248915
"Yaariyan Theatrical Trailer (Official) | Divya Khosla Kumar | Himansh K, Rakul P, Nicole F, Dev S",5568428
Shamshera Official Trailer | Ranbir Kapoor | Sanjay Dutt | Vaani Kapoor | Karan Malhotra,108094988
Aarakshan - Theatrical Trailer,1152460
"ANTIM: The Final Truth - Official Trailer | Salman Khan, Aayush Sharma | Mahesh V Manjrekar | Nov 26",50449385
Ek Main Aur Ekk Tu OFFICIAL Trailer,1485425
Border [Official Trailer] In Theaters October 26,2130256
"&quot;Bhoothnath Returns&quot; Trailer (Official) | Amitabh Bachchan, Boman Irani | Releasing 11 April, 2014",4689795
